Icon,Date/Time,Description,"Event Type"
true,"1998-08-25 04:04:44","/Program Files/Microsoft Office/MEDIA/OFFICE12/AUTOSHAP/BD18238_.WMF","File Modified"
true,"1997-12-08 14:00:00","/Program Files/Microsoft Office/CLIPART/PUB60COR/PARNT_02.MID","File Modified"
true,"1998-09-11 10:04:58","/Program Files/Microsoft Office/MEDIA/OFFICE12/AUTOSHAP/BD18239_.WMF","File Modified"
true,"1997-12-08 14:00:00","/Program Files/Microsoft Office/CLIPART/PUB60COR/PARNT_03.MID","File Modified"
true,"1998-09-11 09:34:48","/Program Files/Microsoft Office/MEDIA/OFFICE12/AUTOSHAP/BD18241_.WMF","File Modified"
true,"1997-12-08 14:00:00","/Program Files/Microsoft Office/CLIPART/PUB60COR/PARNT_04.MID","File Modified"
true,"1998-08-25 04:09:48","/Program Files/Microsoft Office/MEDIA/OFFICE12/AUTOSHAP/BD18242_.WMF","File Modified"
true,"1997-12-08 14:00:00","/Program Files/Microsoft Office/CLIPART/PUB60COR/PARNT_05.MID","File Modified"
true,"1998-08-25 04:10:24","/Program Files/Microsoft Office/MEDIA/OFFICE12/AUTOSHAP/BD18243_.WMF","File Modified"
true,"1997-12-08 14:00:00","/Program Files/Microsoft Office/CLIPART/PUB60COR/PARNT_06.MID","File Modified"
true,"1998-08-25 04:43:26","/Program Files/Microsoft Office/MEDIA/OFFICE12/AUTOSHAP/BD18244_.WMF","File Modified"
true,"1997-12-08 14:00:00","/Program Files/Microsoft Office/CLIPART/PUB60COR/PARNT_07.MID","File Modified"
true,"1998-08-25 04:43:58","/Program Files/Microsoft Office/MEDIA/OFFICE12/AUTOSHAP/BD18245_.WMF","File Modified"
true,"1997-12-08 14:00:00","/Program Files/Microsoft Office/CLIPART/PUB60COR/PARNT_08.MID","File Modified"
true,"1998-08-25 04:19:42","/Program Files/Microsoft Office/MEDIA/OFFICE12/AUTOSHAP/BD18246_.WMF","File Modified"
true,"1997-12-08 14:00:00","/Program Files/Microsoft Office/CLIPART/PUB60COR/PARNT_09.MID","File Modified"
true,"1998-08-25 04:40:40","/Program Files/Microsoft Office/MEDIA/OFFICE12/AUTOSHAP/BD18247_.WMF","File Modified"
true,"1997-12-08 14:00:00","/Program Files/Microsoft Office/CLIPART/PUB60COR/PARNT_10.MID","File Modified"
true,"1998-08-25 04:41:12","/Program Files/Microsoft Office/MEDIA/OFFICE12/AUTOSHAP/BD18248_.WMF","File Modified"
true,"1998-03-10 07:16:48","/Program Files/Microsoft Office/CLIPART/PUB60COR/PE00013_.WMF","File Modified"
true,"1998-08-25 04:51:26","/Program Files/Microsoft Office/MEDIA/OFFICE12/AUTOSHAP/BD18249_.WMF","File Modified"
true,"2002-06-14 20:34:22","/Program Files/Common Files/Microsoft Shared/MODI/12.0/ASCIIENG.LNG","File Modified"
true,"1998-03-10 07:16:42","/Program Files/Microsoft Office/CLIPART/PUB60COR/PE00014_.WMF","File Modified"
true,"1998-08-25 04:41:42","/Program Files/Microsoft Office/MEDIA/OFFICE12/AUTOSHAP/BD18250_.WMF","File Modified"
true,"1998-08-25 04:42:10","/Program Files/Microsoft Office/MEDIA/OFFICE12/AUTOSHAP/BD18251_.WMF","File Modified"
true,"2002-06-14 20:34:24","/Program Files/Common Files/Microsoft Shared/MODI/12.0/CharSetTable.chr","File Modified"
true,"1998-03-09 21:43:06","/Program Files/Microsoft Office/CLIPART/PUB60COR/PE00049_.WMF","File Modified"
true,"1998-08-25 04:20:30","/Program Files/Microsoft Office/MEDIA/OFFICE12/AUTOSHAP/BD18252_.WMF","File Modified"
true,"2002-06-14 20:34:26","/Program Files/Common Files/Microsoft Shared/MODI/12.0/ENGDIC.DAT","File Modified"
true,"1998-03-09 21:43:04","/Program Files/Microsoft Office/CLIPART/PUB60COR/PE00050_.WMF","File Modified"
true,"1998-08-25 04:50:06","/Program Files/Microsoft Office/MEDIA/OFFICE12/AUTOSHAP/BD18253_.WMF","File Modified"
true,"2002-06-14 20:34:26","/Program Files/Common Files/Microsoft Shared/MODI/12.0/ENGIDX.DAT","File Modified"
true,"1998-03-09 21:43:02","/Program Files/Microsoft Office/CLIPART/PUB60COR/PE00052_.WMF","File Modified"
true,"1998-09-11 10:06:50","/Program Files/Microsoft Office/MEDIA/OFFICE12/AUTOSHAP/BD18254_.WMF","File Modified"
true,"1998-08-25 04:09:14","/Program Files/Microsoft Office/MEDIA/OFFICE12/AUTOSHAP/BD18255_.WMF","File Modified"
true,"1998-03-10 09:10:14","/Program Files/Microsoft Office/CLIPART/PUB60COR/PE00478_.WMF","File Modified"
true,"1998-08-25 04:05:42","/Program Files/Microsoft Office/MEDIA/OFFICE12/AUTOSHAP/BD18256_.WMF","File Modified"
true,"1998-10-24 05:10:34","/Program Files/Microsoft Office/MEDIA/OFFICE12/AUTOSHAP/BD18257_.WMF","File Modified"
true,"1999-11-20 02:39:36","/Program Files/Microsoft Office/CLIPART/PUB60COR/PE00485_.WMF","File Modified"
true,"2002-06-14 20:34:30","/Program Files/Common Files/Microsoft Shared/MODI/12.0/JFONT.DAT","File Modified"
true,"1998-06-16 20:34:24","/Program Files/Microsoft Office/CLIPART/PUB60COR/PE00489_.WMF","File Modified"
true,"1998-08-25 04:23:22","/Program Files/Microsoft Office/MEDIA/OFFICE12/AUTOSHAP/BD18208_.WMF","File Modified"
true,"2002-06-14 20:34:50","/Program Files/Common Files/Microsoft Shared/MODI/12.0/LATIN1.SHP","File Modified"
true,"1998-08-25 04:39:40","/Program Files/Microsoft Office/MEDIA/OFFICE12/AUTOSHAP/BD18209_.WMF","File Modified"
true,"1999-11-20 02:39:36","/Program Files/Microsoft Office/CLIPART/PUB60COR/PE00531_.WMF","File Modified"
true,"2002-06-14 20:34:50","/Program Files/Common Files/Microsoft Shared/MODI/12.0/LOOKUP.DAT","File Modified"
true,"1998-08-25 03:56:32","/Program Files/Microsoft Office/MEDIA/OFFICE12/AUTOSHAP/BD18218_.WMF","File Modified"
true,"1999-12-02 07:58:14","/Program Files/Microsoft Office/CLIPART/PUB60COR/PE00542_.WMF","File Modified"
true,"2002-06-14 20:34:50","/Program Files/Common Files/Microsoft Shared/MODI/12.0/OCRHC.DAT","File Modified"
true,"1998-03-10 03:33:18","/Program Files/Microsoft Office/CLIPART/PUB60COR/PE00555_.WMF","File Modified"
true,"1998-08-25 04:16:12","/Program Files/Microsoft Office/MEDIA/OFFICE12/AUTOSHAP/BD18219_.WMF","File Modified"
true,"2002-06-14 20:34:50","/Program Files/Common Files/Microsoft Shared/MODI/12.0/OCRVC.DAT","File Modified"
true,"1998-03-09 21:40:26","/Program Files/Microsoft Office/CLIPART/PUB60COR/PE00559_.WMF","File Modified"
true,"1998-03-10 07:26:44","/Program Files/Microsoft Office/CLIPART/PUB60COR/PE00563_.WMF","File Modified"
true,"1998-04-03 02:08:24","/Program Files/Microsoft Office/MEDIA/OFFICE12/BULLETS/BD10253_.GIF","File Modified"
true,"1998-06-05 07:25:44","/Program Files/Microsoft Office/MEDIA/OFFICE12/BULLETS/BD10254_.GIF","File Modified"
true,"1998-03-09 21:42:56","/Program Files/Microsoft Office/CLIPART/PUB60COR/PE00608_.WMF","File Modified"
true,"1998-06-05 07:25:46","/Program Files/Microsoft Office/MEDIA/OFFICE12/BULLETS/BD10255_.GIF","File Modified"
true,"2000-03-28 06:51:40","/Program Files/Microsoft Office/Office12/QUERIES/MSN MoneyCentral Investor Currency Rates.iqy","File Modified"
true,"1998-03-10 06:51:04","/Program Files/Microsoft Office/CLIPART/PUB60COR/PE00633_.WMF","File Modified"
true,"1998-06-05 07:00:46","/Program Files/Microsoft Office/MEDIA/OFFICE12/BULLETS/BD10263_.GIF","File Modified"
true,"1998-03-09 21:43:00","/Program Files/Microsoft Office/CLIPART/PUB60COR/PE00640_.WMF","File Modified"
true,"1998-06-05 07:00:46","/Program Files/Microsoft Office/MEDIA/OFFICE12/BULLETS/BD10264_.GIF","File Modified"
true,"1999-10-09 04:47:46","/Program Files/Microsoft Office/Office12/QUERIES/MSN MoneyCentral Investor Stock Quotes.iqy","File Modified"
true,"1998-03-09 21:42:54","/Program Files/Microsoft Office/CLIPART/PUB60COR/PE00668_.WMF","File Modified"
true,"1998-06-05 07:00:46","/Program Files/Microsoft Office/MEDIA/OFFICE12/BULLETS/BD10265_.GIF","File Modified"
true,"1998-03-10 07:06:14","/Program Files/Microsoft Office/CLIPART/PUB60COR/PE00685_.WMF","File Modified"
true,"1998-06-05 07:00:48","/Program Files/Microsoft Office/MEDIA/OFFICE12/BULLETS/BD10266_.GIF","File Modified"
true,"1997-07-11 13:00:00","/Program Files/Microsoft Office/Office12/MSCAL.CNT","File Modified"
true,"1998-06-05 07:00:48","/Program Files/Microsoft Office/MEDIA/OFFICE12/BULLETS/BD10267_.GIF","File Modified"
true,"1999-10-01 06:14:44","/Program Files/Microsoft Office/CLIPART/PUB60COR/PE00686_.WMF","File Modified"
true,"1998-06-05 07:00:48","/Program Files/Microsoft Office/MEDIA/OFFICE12/BULLETS/BD10268_.GIF","File Modified"
true,"1999-11-20 02:39:38","/Program Files/Microsoft Office/CLIPART/PUB60COR/PE00693_.WMF","File Modified"
true,"1998-03-10 00:22:56","/Program Files/Microsoft Office/CLIPART/PUB60COR/AN02122_.WMF","File Modified"
true,"1998-06-05 07:11:56","/Program Files/Microsoft Office/MEDIA/OFFICE12/BULLETS/BD10297_.GIF","File Modified"
